username,scrobble_date,artist,track,album,insertion_date,genre
Hydraine,2021-03-30 18:41:19.000,Taylor Swift,Everything Has Changed,Red (Deluxe Edition),2024-06-17 15:26:06.102,singer-songwriter
Hydraine,2021-03-30 18:41:19.000,Taylor Swift,Everything Has Changed,Red (Deluxe Edition),2024-06-17 15:26:06.102,acoustic
Hydraine,2021-03-30 18:41:19.000,Taylor Swift,Everything Has Changed,Red (Deluxe Edition),2024-06-17 15:26:06.102,USA
rmottafc,2023-08-13 05:05:07.000,Westside Gunn,No Vacancy,Pray For Paris,2024-06-17 12:51:52.780,MySpotigramBot
rmottafc,2023-08-13 05:05:07.000,Westside Gunn,No Vacancy,Pray For Paris,2024-06-17 12:51:52.780,-1001747063611
rmottafc,2023-08-13 05:05:07.000,Westside Gunn,No Vacancy,Pray For Paris,2024-06-17 12:51:52.780,-1001819731063
rmottafc,2023-08-13 05:05:07.000,Westside Gunn,No Vacancy,Pray For Paris,2024-06-17 12:51:52.780,-1001854528204
pascgabs,2018-08-09 21:36:10.000,Radiohead,Nude,In Rainbows,2024-06-17 15:44:44.832,alternative
pascgabs,2018-08-09 21:36:10.000,Radiohead,Nude,In Rainbows,2024-06-17 15:44:44.832,alternative rock
pascgabs,2018-08-09 21:36:10.000,Radiohead,Nude,In Rainbows,2024-06-17 15:44:44.832,rock
pascgabs,2018-08-09 21:36:10.000,Radiohead,Nude,In Rainbows,2024-06-17 15:44:44.832,indie
pascgabs,2018-08-09 21:36:10.000,Radiohead,Nude,In Rainbows,2024-06-17 15:44:44.832,beautiful
mateuslevisf,2021-01-01 16:51:50.000,Bibi,NABI,The Manual For People Who Want To Love,2024-06-17 15:12:13.015,anime
mateuslevisf,2021-01-01 16:51:50.000,Bibi,NABI,The Manual For People Who Want To Love,2024-06-17 15:12:13.015,love live
rmottafc,2024-02-14 22:16:38.000,Men I Trust,I Hope to Be Around,I Hope to Be Around,2024-06-17 12:49:04.936,indie
rmottafc,2024-02-14 22:16:38.000,Men I Trust,I Hope to Be Around,I Hope to Be Around,2024-06-17 12:49:04.936,pop
rmottafc,2024-02-14 22:16:38.000,Men I Trust,I Hope to Be Around,I Hope to Be Around,2024-06-17 12:49:04.936,female vocalists
rmottafc,2024-02-14 22:16:38.000,Men I Trust,I Hope to Be Around,I Hope to Be Around,2024-06-17 12:49:04.936,downtempo
rmottafc,2024-02-14 22:16:38.000,Men I Trust,I Hope to Be Around,I Hope to Be Around,2024-06-17 12:49:04.936,Love
rafinhaperry,2018-02-17 20:03:25.000,Mayday Parade,Somebody That I Used to Know (feat. Vic Fuentes),"Punk Goes Pop, Vol. 5",2024-06-17 16:07:28.248,cover
rafinhaperry,2018-02-17 20:03:25.000,Mayday Parade,Somebody That I Used to Know (feat. Vic Fuentes),"Punk Goes Pop, Vol. 5",2024-06-17 16:07:28.248,pop punk
rafinhaperry,2018-02-17 20:03:25.000,Mayday Parade,Somebody That I Used to Know (feat. Vic Fuentes),"Punk Goes Pop, Vol. 5",2024-06-17 16:07:28.248,punk goes pop
rafinhaperry,2018-02-17 20:03:25.000,Mayday Parade,Somebody That I Used to Know (feat. Vic Fuentes),"Punk Goes Pop, Vol. 5",2024-06-17 16:07:28.248,mayday parade
rafinhaperry,2018-02-17 20:03:25.000,Mayday Parade,Somebody That I Used to Know (feat. Vic Fuentes),"Punk Goes Pop, Vol. 5",2024-06-17 16:07:28.248,pierce the veil
rafinhaperry,2018-12-30 17:05:15.000,Taylor Swift,The Way I Loved You,Fearless (Platinum Edition),2024-06-17 16:05:20.359,country
rafinhaperry,2018-12-30 17:05:15.000,Taylor Swift,The Way I Loved You,Fearless (Platinum Edition),2024-06-17 16:05:20.359,taylor swift
rafinhaperry,2018-12-30 17:05:15.000,Taylor Swift,The Way I Loved You,Fearless (Platinum Edition),2024-06-17 16:05:20.359,pop
rafinhaperry,2018-12-30 17:05:15.000,Taylor Swift,The Way I Loved You,Fearless (Platinum Edition),2024-06-17 16:05:20.359,female vocalists
rafinhaperry,2018-12-30 17:05:15.000,Taylor Swift,The Way I Loved You,Fearless (Platinum Edition),2024-06-17 16:05:20.359,Love
vicisnotonfire,2020-08-28 22:18:07.000,Lupe de Lupe,17,Sal Grosso,2024-06-17 15:53:26.570,numbers
vicisnotonfire,2020-08-28 22:18:07.000,Lupe de Lupe,17,Sal Grosso,2024-06-17 15:53:26.570,que música linda
vicisnotonfire,2020-08-28 22:18:07.000,Lupe de Lupe,17,Sal Grosso,2024-06-17 15:53:26.570,bundinhacore
